"country","scenario","species","crop","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","kg HNO3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","kg urea req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","kg ammonium nitrate req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","kg map req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","kg dap req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","conversion tonnes N to tonnes fertiliser","0","0","0","0","0"
0,0,"0","0","Other NK compounds","Tonnes","0","0","0","0","0"
0,0,"0","0","Other NK compounds","Tonnes N","0","0","0","0","0"
0,0,"0","0","Other NK compounds","NH3 EF kg NH3 kg N-1","0.022","0.022","0","0","0"
0,0,"0","0","Other NK compounds","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
0,0,"0","0","Other NK compounds","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Other NK compounds","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Other NK compounds","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","Other NK compounds","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","Other NK compounds","kg NH3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other NK compounds","kg HNO3 req per tonne fertiliser","630","630","630","630","630"
0,0,"0","0","Other NK compounds","kg urea req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other NK compounds","kg ammonium nitrate req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other NK compounds","kg map req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other NK compounds","kg dap req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other NK compounds","conversion tonnes N to tonnes fertiliser","5","5","5","5","5"
0,0,"0","0","Other NP compounds","Tonnes","0","0","0","0","0"
0,0,"0","0","Other NP compounds","Tonnes N","0","0","0","0","0"
0,0,"0","0","Other NP compounds","NH3 EF kg NH3 kg N-1","0.067","0.067","0","0","0"
0,0,"0","0","Other NP compounds","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
0,0,"0","0","Other NP compounds","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Other NP compounds","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
