"country","year","sector","subsector","variable","units","value"
"Nigeria",2018,"Oilcrops Oil, Other",NA,"land area","ha",0
"Nigeria",2018,"Oilcrops Oil, Other",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Oilcrops Oil, Other",NA,"NUE","fraction",NA
"Nigeria",2018,"Oilcrops Oil, Other",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Oilcrops, Other",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Oilcrops, Other",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Oilcrops, Other",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Oilcrops, Other",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Oilcrops, Other",NA,"yield","kg ha-1 y-1",Inf
"Nigeria",2018,"Oilcrops, Other",NA,"land area","ha",0
"Nigeria",2018,"Oilcrops, Other",NA,"N surplus","kg N y-1",-Inf
"Nigeria",2018,"Oilcrops, Other",NA,"NUE","fraction",Inf
"Nigeria",2018,"Oilcrops, Other",NA,"ymax","kg N y-1",-Inf
"Nigeria",2018,"Olive Oil",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Olive Oil",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Olive Oil",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Olive Oil",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Olive Oil",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Olive Oil",NA,"land area","ha",0
"Nigeria",2018,"Olive Oil",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Olive Oil",NA,"NUE","fraction",NA
"Nigeria",2018,"Olive Oil",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Olives (including preserved)",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Olives (including preserved)",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Olives (including preserved)",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Olives (including preserved)",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Olives (including preserved)",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Olives (including preserved)",NA,"land area","ha",0
"Nigeria",2018,"Olives (including preserved)",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Olives (including preserved)",NA,"NUE","fraction",NA
"Nigeria",2018,"Olives (including preserved)",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Onions",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Onions",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Onions",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Onions",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Onions",NA,"yield","kg ha-1 y-1",88815.6852180527
"Nigeria",2018,"Onions",NA,"land area","ha",15776
"Nigeria",2018,"Onions",NA,"N surplus","kg N y-1",-24136.0918202197
"Nigeria",2018,"Onions",NA,"NUE","fraction",1109.45375650574
"Nigeria",2018,"Onions",NA,"ymax","kg N y-1",-12696233292.298
"Nigeria",2018,"Oranges, Mandarines",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Oranges, Mandarines",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Oranges, Mandarines",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Oranges, Mandarines",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Oranges, Mandarines",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Oranges, Mandarines",NA,"land area","ha",0
"Nigeria",2018,"Oranges, Mandarines",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Oranges, Mandarines",NA,"NUE","fraction",NA
"Nigeria",2018,"Oranges, Mandarines",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Palm Oil",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Palm Oil",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Palm Oil",NA,"below ground residue","kg y-1",0
