"country","year","sector","subsector","species","mgmt","animal","pollutant","units","value"
"Nigeria",2018,"crops","manure application","Maize and products",NA,NA,"NO","kg y-1",2247648.74871922
"Nigeria",2018,"crops","manure application","Maize Germ Oil",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Millet and products",NA,NA,"NO","kg y-1",885829.284185498
"Nigeria",2018,"crops","manure application","Nuts and products",NA,NA,"NO","kg y-1",47089.9429182136
"Nigeria",2018,"crops","manure application","Oats",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Oilcrops Oil, Other",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Oilcrops, Other",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Olive Oil",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Olives (including preserved)",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Onions",NA,NA,"NO","kg y-1",5202.20821325698
"Nigeria",2018,"crops","manure application","Oranges, Mandarines",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Palm Oil",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Palmkernel Oil",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Peas",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Pineapples and products",NA,NA,"NO","kg y-1",65148.6225956226
"Nigeria",2018,"crops","manure application","Plantains",NA,NA,"NO","kg y-1",165840.831581366
"Nigeria",2018,"crops","manure application","Potatoes and products",NA,NA,"NO","kg y-1",107207.170171679
"Nigeria",2018,"crops","manure application","Pulses",NA,NA,"NO","kg y-1",49297.6498139891
"Nigeria",2018,"crops","manure application","Rape and Mustard Oil",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Rape and Mustardseed",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Rice and products",NA,NA,"NO","kg y-1",1936851.43220775
"Nigeria",2018,"crops","manure application","Roots, Other",NA,NA,"NO","kg y-1",5158491.98942027
"Nigeria",2018,"crops","manure application","Rye and products",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Sesame seed",NA,NA,"NO","kg y-1",228564.109260121
"Nigeria",2018,"crops","manure application","Sesameseed Oil",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Sorghum and products",NA,NA,"NO","kg y-1",1845340.25016632
